AB01	Create asset transactions
AB02	Change asset document
AB08	Reverse Line Items
ABZE	Acquisition from in-house production
ABZO	Asset acquis. autom. offset. posting
ABZON	Acquis. w/Autom. Offsetting Entry
ABZP	Acquistion from affiliated company
AC01	Service Master
AC02	Service Master
AC03	Service Master
AC04	Service Master
AFAB	Post depreciation
AS01	Create Asset Master Record
AS02	Change Asset Master Record
AS05	Block Asset Master Record
AS06	Delete Asset Record/Mark for Delet.
AS21	Create Group Asset
AS22	Change Group Asset
AS24	Create Group Asset Subnumber
AS25	Block group asset
AS26	Mark group asset for deletion
AT01	Create Asset Master Record (old)
AT02	Change Asset Master Record (old)
CAPP	CATS: Object-Related Approval
CAPS	Approve Times: Master Data
CAT2	Time Sheet: Maintain Times
CAT2_ISCR	CATS: Maintain Times (Init. Screen)
CAT4	CATS: Approve Data
CK68	Release Costing Run
CO01	Create production order
CO02	Change Production Order
CO05	Collective Release of Prod. Orders
CO05N	Release Production Orders
CO11	Enter Time Ticket
CO11N	Single Screen Entry of Confirmations
CO12	Collective Entry of Confirmations
CO13	Cancel confirmation of prod. order
CO15	Enter Production order Confirmation
F-02	Enter G/L Account Posting
F-04	Post with Clearing
F-05	Post Foreign Currency Valuation
F-06	Post Incoming Payments
F-07	Post Outgoing Payments
F-18	Payment with Printout
F-20	Reverse Bill Liability
F-21	Enter Transfer Posting
F-22	Enter Customer Invoice
F-23	Return Bill of Exchange Pmt Request
F-26	Incoming Payments Fast Entry
F-27	Enter Customer Credit Memo
F-28	Post Incoming Payments
F-29	Post Customer Down Payment
F-30	Post with Clearing
F-31	Post Outgoing Payments
F-32	Clear Customer
F-36	Bill of Exchange Payment
F-39	Clear Customer Down Payment
F-40	Bill of Exchange Payment
F-41	Enter Vendor Credit Memo
F-42	Enter Transfer Posting
F-43	Enter Vendor Invoice
F-44	Clear Vendor
F-47	Down Payment Request
F-48	Post Vendor Down Payment
F-51	Post with Clearing
F-52	Post Incoming Payments
F-53	Post Outgoing Payments
F-54	Clear Vendor Down Payment
F-58	Payment with Printout
F-63	Park Vendor Invoice
F-64	Park Customer Invoice
F-66	Park Vendor Credit Memo
F-67	Park Customer Credit Memo
F-90	Acquisition from purchase w. vendor
F.05	Foreign Currency Valuation
F.13	ABAP/4 Report: Automatic Clearing
F.14	ABAP/4 Report: Recurring Entries
F.19	G/L: Goods/Invoice Received Clearing
F.26	A/R: Balance Interest Calculation
F.28	Customers: Reset Credit Limit
F.2A	Calc.cust.int.on arr.: Post (w/o OI)
F.2B	Calc.cust.int.on arr.: Post(with OI)
F.34	Credit Management - Mass Change
F.38	Transfer Posting of Deferred Tax
F.56	Delete Recurring Document
F.57	G/L: Delete Sample Documents
F.5E	G/L: Post Balance Sheet Adjustment
F.80	Mass Reversal of Documents
F.81	Reverse Posting for Accr./Defer.Docs
F101	ABAP/4 Reporting: Balance Sheet Adj.
F110	Parameters for Automatic Payment
F13E	ABAP/4 Report: Automatic Clearing
FB01	Post Document
FB05	Post with Clearing
FB08	Reverse Document
FB09	Change Line Items
FB10	Invoice/Credit Fast Entry
FB11	Post Held Document
FB1D	Clear Customer
FB1K	Clear Vendor
FB1S	Clear G/L Account
FB41	Post Tax Payable
FB50	G/L Acct Pstg: Single Screen Trans.
FB60	Enter Incoming Invoices
FB65	Enter Incoming Credit Memos
FB70	Enter Outgoing Invoices
FB75	Enter Outgoing Credit Memos
FBA2	Post Customer Down Payment
FBA7	Post Vendor Down Payment
FBA8	Clear Vendor Down Payment
FBB1	Post Foreign Currency Valn
FBCJ	Cash Journal
FBD1	Enter Recurring Entry
FBD2	Change Recurring Entry
FBD5	Realize Recurring Entry
FBL6	Change Customer Line Items
FBR1	Post with Reference Document
FBR2	Post Document
FBS1	Enter Accrual/Deferral Doc.
FBU2	Change Intercompany Document
FBU8	Reverse Cross-Company Code Document
FBV0	Post Parked Document
FBV2	Change Parked Document
FBVB	Post Parked Document
FBW1	Enter Bill of Exchange Pmnt Request
FBW2	Post Bill of Exch.acc.to Pmt Request
FBW4	Reverse Bill Liability
FBWE	Bill/Exch.Presentatn - International
FBZ0	Display/Edit Payment Proposal
FBZ1	Post Incoming Payments
FBZ2	Post Outgoing Payments
FBZ3	Incoming Payments Fast Entry
FBZ4	Payment with Printout
FBZ5	Print Check for Payment Document
FCH3	Void Checks
FCH4	Renumber Checks
FCH5	Create Check Information
FCH6	Change Check Information/Cash Check
FCH7	Reprint Check
FCH8	Reverse Check Payment
FCH9	Void Issued Check
FCHD	Delete Payment Run Check Information
FCHG	Delete cashing/extract data
